TIMECODE,HOME.LATITUDE,HOME.LONGITUDE,DATE,GPS.LATITUDE,GPS.LONGITUDE,GPS.SATELLITES,BAROMETER,ISO,SHUTTER,FNUM,SPEED.TWOD,SPEED.VERTICAL,SPEED.THREED,DISTANCE,propInt,propInt2,propExtra,NAME
"00:00:52,000","-20.2532","149.0251","1501953162000","-20.2534","149.0253","15","52.712500000000006","100","60","2.2","0","-4.904999999999964","4.904999999999964","71.50060800271945","123","456","Prop added in a second instance","mavic_pro"
"00:00:53,000","-20.2532","149.0251","1501953163000","-20.2534","149.0253","16","51.212500000000006","100","60","2.2","0","-5.4","5.4","73.00060800271945","123","456","Prop added in a second instance","mavic_pro"
"00:00:54,000","-20.2532","149.0251","1501953164000","-20.2534","149.0253","16","49.5875","100","60","2.2","0","-5.850000000000025","5.850000000000025","74.62560800271945","123","456","Prop added in a second instance","mavic_pro"
"00:00:55,000","-20.2532","149.0251","1501953165000","-20.2534","149.0253","16","47.849999999999994","100","60","2.2","0","-6.255000000000015","6.255000000000015","76.36310800271946","123","456","Prop added in a second instance","mavic_pro"
"00:00:56,000","-20.2532","149.0251","1501953166000","-20.2534","149.0253","15","46","100","60","2.2","0","-6.659999999999979","6.659999999999979","78.21310800271945","123","456","Prop added in a second instance","mavic_pro"
"00:00:57,000","-20.2532","149.0251","1501953167000","-20.2534","149.0253","16","44.0625","100","60","2.2","0","-6.975","6.975","80.15060800271945","123","456","Prop added in a second instance","mavic_pro"
"00:00:58,000","-20.2532","149.0251","1501953168000","-20.2534","149.0253","16","42.0375","100","60","2.2","0","-7.289999999999995","7.289999999999995","82.17560800271946","123","456","Prop added in a second instance","mavic_pro"
"00:00:59,000","-20.2532","149.0251","1501953169000","-20.2534","149.0253","16","39.95","100","60","2.2","0","-7.514999999999995","7.514999999999995","84.26310800271946","123","456","Prop added in a second instance","mavic_pro"
"00:01:00,000","-20.2532","149.0251","1501953170000","-20.2534","149.0253","15","37.825","100","60","2.2","0","-7.65","7.65","86.38810800271946","123","456","Prop added in a second instance","mavic_pro"
"00:01:01,000","-20.2532","149.0251","1501953171000","-20.2534","149.0253","16","35.650000000000006","100","60","2.2","0","-7.82999999999999","7.82999999999999","88.56310800271946","123","456","Prop added in a second instance","mavic_pro"
"00:01:02,000","-20.2532","149.0251","1501953172000","-20.2534","149.0253","16","33.425000000000004","100","60","2.2","0","-8.010000000000005","8.010000000000005","90.78810800271947","123","456","Prop added in a second instance","mavic_pro"
"00:01:03,000","-20.2532","149.0251","1501953173000","-20.2534","149.0253","15","31.15","100","60","2.2","0","-8.19000000000002","8.19000000000002","93.06310800271947","123","456","Prop added in a second instance","mavic_pro"
"00:01:04,000","-20.2532","149.0251","1501953174000","-20.2534","149.0253","16","28.837500000000002","100","60","2.2","0","-8.324999999999987","8.324999999999987","95.37560800271947","123","456","Prop added in a second instance","mavic_pro"
"00:01:05,000","-20.2532","149.0251","1501953175000","-20.2534","149.0253","16","26.4625","100","60","2.2","0","-8.550000000000013","8.550000000000013","97.75060800271947","123","456","Prop added in a second instance","mavic_pro"
"00:01:06,000","-20.2532","149.0251","1501953176000","-20.2534","149.0253","16","24.099999999999998","100","60","2.2","0","-8.505000000000003","8.505000000000003","100.11310800271947","123","456","Prop added in a second instance","mavic_pro"
"00:01:07,000","-20.2532","149.0251","1501953177000","-20.2534","149.0253","15","21.7125","100","60","2.2","0","-8.594999999999997","8.594999999999997","102.50060800271947","123","456","Prop added in a second instance","mavic_pro"
"00:01:08,000","-20.2532","149.0251","1501953178000","-20.2534","149.0253","16","19.287499999999998","100","60","2.2","0","-8.730000000000002","8.730000000000002","104.92560800271947","123","456","Prop added in a second instance","mavic_pro"
"00:01:09,000","-20.2532","149.0251","1501953179000","-20.2534","149.0253","15","16.837500000000002","100","60","2.2","0","-8.819999999999984","8.819999999999984","107.37560800271947","123","456","Prop added in a second instance","mavic_pro"
"00:01:10,000","-20.2532","149.0251","1501953180000","-20.2534","149.0253","15","14.387500000000001","100","60","2.2","0","-8.820000000000004","8.820000000000004","109.82560800271948","123","456","Prop added in a second instance","mavic_pro"
"00:01:11,000","-20.2532","149.0251","1501953181000","-20.2534","149.0253","16","11.975000000000001","100","60","2.2","0","-8.684999999999999","8.684999999999999","112.23810800271947","123","456","Prop added in a second instance","mavic_pro"
"00:01:12,000","-20.2532","149.0251","1501953182000","-20.2534","149.0253","16","9.7875","100","60","2.2","0","-7.875000000000007","7.875000000000007","114.42560800271947","123","456","Prop added in a second instance","mavic_pro"
"00:01:13,000","-20.2532","149.0251","1501953183000","-20.2534","149.0253","16","7.925","100","60","2.2","0","-6.704999999999999","6.704999999999999","116.28810800271947","123","456","Prop added in a second instance","mavic_pro"
"00:01:14,000","-20.2532","149.0251","1501953184000","-20.2534","149.0253","16","6.3374999999999995","100","60","2.2","0","-5.715000000000002","5.715000000000002","117.87560800271947","123","456","Prop added in a second instance","mavic_pro"
"00:01:15,000","-20.2532","149.0251","1501953185000","-20.2534","149.0253","16","5.0625","100","60","2.2","0","-4.589999999999998","4.589999999999998","119.15060800271948","123","456","Prop added in a second instance","mavic_pro"
"00:01:16,000","-20.2532","149.0251","1501953186000","-20.2534","149.0253","16","4.1","100","60","2.2","0","-3.465000000000001","3.465000000000001","120.11310800271949","123","456","Prop added in a second instance","mavic_pro"
"00:01:17,000","-20.2532","149.0251","1501953187000","-20.2534","149.0253","16","3.45","100","60","2.2","0","-2.339999999999998","2.339999999999998","120.76310800271949","123","456","Prop added in a second instance","mavic_pro"
"00:01:18,000","-20.2532","149.0251","1501953188000","-20.2533875","149.0252875","16","3.1","100","60","2.2","6.868812322046151","-1.2600000000000005","6.9834219917955","122.70294744488491","123","456","Prop added in a second instance","mavic_pro"
"00:01:19,000","-20.2532","149.0251","1501953189000","-20.253375","149.025275","15","3.0125","100","60","2.2","6.86881258651166","-0.3149999999999997","6.876031657040346","124.61295623850724","123","456","Prop added in a second instance","mavic_pro"
"00:01:20,000","-20.2532","149.0251","1501953190000","-20.253362499999998","149.02525","16","3.0625","100","60","2.2","10.650858327329193","0.17999999999999935","10.65237922291718","127.57195046709535","123","456","Prop added in a second instance","mavic_pro"
"00:01:21,000","-20.2532","149.0251","1501953191000","-20.253337499999997","149.025225","16","3.575","100","60","2.2","13.737626455109528","1.8450000000000006","13.860966979981056","131.42221907264565","123","456","Prop added in a second instance","mavic_pro"
"00:01:22,000","-20.2532","149.0251","1501953192000","-20.253312499999996","149.02518750000002","16","4.5875","100","60","2.2","17.296130405562373","3.6450000000000005","17.676033265589293","136.3322283130871","123","456","Prop added in a second instance","mavic_pro"
"00:01:23,000","-20.2532","149.0251","1501953193000","-20.253274999999995","149.02513750000003","16","6.125","100","60","2.2","24.06725508608536","5.534999999999998","24.69552575627216","143.19209657871826","123","456","Prop added in a second instance","mavic_pro"
"00:01:24,000","-20.2532","149.0251","1501953194000","-20.253237499999994","149.02508749999998","16","8.175","100","60","2.2","24.0672586612051","7.380000000000003","25.17334581388322","150.18469263813026","123","456","Prop added in a second instance","mavic_pro"
"00:01:25,000","-20.2532","149.0251","1501953195000","-20.253187500000003","149.025025","16","10.775","100","60","2.2","30.8815661589095","9.359999999999998","32.26888173499516","159.14827089785115","123","456","Prop added in a second instance","mavic_pro"
"00:01:26,000","-20.2532","149.0251","1501953196000","-20.253149999999998","149.0249625","16","13.8375","100","60","2.2","27.892910008835557","11.025","29.99275001997981","167.47959034784554","123","456","Prop added in a second instance","mavic_pro"
"00:01:27,000","-20.2532","149.0251","1501953197000","-20.253100000000003","149.0249","16","17.4125","100","60","2.2","30.881576235179498","12.870000000000003","33.45607046216281","176.7729432540019","123","456","Prop added in a second instance","mavic_pro"
"00:01:28,000","-20.2532","149.0251","1501953198000","-20.25305","149.0248375","16","21.4375","100","60","2.2","30.88158200877038","14.489999999999993","34.11205369608241","186.2485137251359","123","456","Prop added in a second instance","mavic_pro"
"00:01:29,000","-20.2532","149.0251","1501953199000","-20.253","149.02476249999998","16","25.574999999999996","100","60","2.2","34.59230521121355","14.894999999999984","37.66282789204432","196.71041036181487","123","456","Prop added in a second instance","mavic_pro"
"00:01:30,000","-20.2532","149.0251","1501953200000","-20.252950000000002","149.0247","16","29.675","100","60","2.2","30.881593515382267","14.760000000000018","34.22762653251465","206.21808439862448","123","456","Prop added in a second instance","mavic_pro"
"00:01:31,000","-20.2532","149.0251","1501953201000","-20.2529","149.0246375","16","33.7625","100","60","2.2","30.881599259817637","14.715000000000007","34.20825043529659","215.72037618620686","123","456","Prop added in a second instance","mavic_pro"
"00:01:32,000","-20.2532","149.0251","1501953202000","-20.252850000000002","149.0245625","16","37.837500000000006","100","60","2.2","34.592327422730015","14.67000000000001","37.57443301663193","226.15771869082684","123","456","Prop added in a second instance","mavic_pro"
"00:01:33,000","-20.2532","149.0251","1501953203000","-20.2528","149.0245","16","41.925","100","60","2.2","30.881610787363243","14.714999999999968","34.20826084182283","235.66001336911097","123","456","Prop added in a second instance","mavic_pro"
"00:01:34,000","-20.2532","149.0251","1501953204000","-20.252750000000002","149.0244375","16","46.012499999999996","100","60","2.2","30.881616545491585","14.714999999999995","34.208266039990676","245.1623094913306","123","456","Prop added in a second instance","mavic_pro"
"00:01:35,000","-20.2532","149.0251","1501953205000","-20.2527","149.02436250000002","16","50.1","100","60","2.2","34.592349610701845","14.715000000000021","37.59204538980321","255.6045443218315","123","456","Prop added in a second instance","mavic_pro"
"00:01:36,000","-20.2532","149.0251","1501953206000","-20.252650000000003","149.02430000000004","16","54.237500000000004","100","60","2.2","30.881628052776442","14.895000000000012","34.28609012690175","265.1284582459709","123","456","Prop added in a second instance","mavic_pro"
"00:01:37,000","-20.2532","149.0251","1501953207000","-20.2526","149.02423750000003","16","58.31250000000001","100","60","2.2","30.88163381731853","14.67000000000001","34.18894861248225","274.62538841610484","123","456","Prop added in a second instance","mavic_pro"
"00:01:38,000","-20.2532","149.0251","1501953208000","-20.25255","149.024175","16","62.4375","100","60","2.2","30.881639581847786","14.849999999999977","34.266575015066024","284.1438814758454","123","456","Prop added in a second instance","mavic_pro"
